"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","2134","","TestSuite","","org.example.ChangeUserTest","","changingNameReturnsCorrectMessage on changingNameReturnsCorrectMessage(org.example.ChangeUserTest)",""
"passed","","","714","","TestSuite","","org.example.LoginUserTest","","loginWithWrongEmailReturnsCorrectCode on loginWithWrongEmailReturnsCorrectCode(org.example.LoginUserTest)",""
"passed","","","1828","","TestSuite","","org.example.ChangeUserTest","","changingNameReturnsCorrectCode on changingNameReturnsCorrectCode(org.example.ChangeUserTest)",""
"passed","","","2834","","TestSuite","","org.example.CreateOrderTest","","createOrderWithoutIngredientsReturnsCorrectMessage on createOrderWithoutIngredientsReturnsCorrectMessage(org.example.CreateOrderTest)",""
"failed","","","1880","","TestSuite","","org.example.ChangeUserTest","","changingEmailReturnsCorrectMessage on changingEmailReturnsCorrectMessage(org.example.ChangeUserTest)",""
"passed","","","558","","TestSuite","","org.example.CreateUserTest","","createUserWithoutPasswordReturnsCorrectMessage on createUserWithoutPasswordReturnsCorrectMessage(org.example.CreateUserTest)",""
"passed","","","561","","TestSuite","","org.example.CreateUserTest","","createUserWithoutNameReturnsCorrectCode on createUserWithoutNameReturnsCorrectCode(org.example.CreateUserTest)",""
"passed","","","1699","","TestSuite","","org.example.CreateOrderTest","","createOrderWithoutAuthorizationReturnsCorrectMessage on createOrderWithoutAuthorizationReturnsCorrectMessage(org.example.CreateOrderTest)",""
"passed","","","1592","","TestSuite","","org.example.CreateUserTest","","createUserWithoutNameReturnsCorrectMessage on createUserWithoutNameReturnsCorrectMessage(org.example.CreateUserTest)",""
"passed","","","2206","","TestSuite","","org.example.CreateOrderTest","","createOrderWithAuthorizationReturnsCorrectCode on createOrderWithAuthorizationReturnsCorrectCode(org.example.CreateOrderTest)",""
"passed","","","872","","TestSuite","","org.example.CreateOrderTest","","createOrderWithoutAuthorizationReturnsCorrectCode on createOrderWithoutAuthorizationReturnsCorrectCode(org.example.CreateOrderTest)",""
"passed","","","764","","TestSuite","","org.example.LoginUserTest","","loginWithWrongEmailReturnsCorrectMessage on loginWithWrongEmailReturnsCorrectMessage(org.example.LoginUserTest)",""
"failed","","","1615","","TestSuite","","org.example.ChangeUserTest","","changingEmailReturnsCorrectCode on changingEmailReturnsCorrectCode(org.example.ChangeUserTest)",""
"passed","","","2163","","TestSuite","","org.example.CreateOrderTest","","createOrderWithIngredientsReturnsCorrectMessage on createOrderWithIngredientsReturnsCorrectMessage(org.example.CreateOrderTest)",""
"passed","","","2787","","TestSuite","","org.example.CreateOrderTest","","createOrderWithAuthorizationReturnsCorrectMessage on createOrderWithAuthorizationReturnsCorrectMessage(org.example.CreateOrderTest)",""
"passed","","","3923","","TestSuite","","org.example.ChangeUserTest","","changingEmailWithoutAuthReturnsCorrectMessage on changingEmailWithoutAuthReturnsCorrectMessage(org.example.ChangeUserTest)",""
"passed","","","1274","","TestSuite","","org.example.CreateUserTest","","createUserReturnsCorrectCode on createUserReturnsCorrectCode(org.example.CreateUserTest)",""
"failed","","","1515","","TestSuite","","org.example.CreateOrderTest","","createOrderWithoutIngredientsReturnsCorrectCode on createOrderWithoutIngredientsReturnsCorrectCode(org.example.CreateOrderTest)",""
